Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2011-09-29,3.95093,4.64817,3.56354,3.95093,58726.683757946
2011-09-30,4.10591,4.10591,2.94394,3.02138,16176.085469331
2011-10-03,3.02138,3.02138,2.47901,2.63409,6766.3418800265
2011-10-04,2.2465,2.71152,2.2465,2.32394,4009.982905796
2011-10-05,2.2465,3.4861,2.2465,3.4861,17826.068375237
2011-10-06,3.4861,3.95093,3.02138,3.56354,10709.760683261
2011-10-07,3.4861,3.56354,3.17625,3.4861,1228.410256353
2011-10-10,3.09862,3.25369,2.47901,2.55645,2329.743589635
2011-10-11,2.8663,3.02138,2.40157,3.02138,3710.4444442715
2011-10-12,2.47901,2.94394,2.47901,2.55645,2339.82905972
2011-10-13,3.02138,3.02138,2.47901,2.55645,1126.5470084945
2011-10-14,2.47901,2.71152,2.32394,2.71152,4279.2649570655
2011-10-17,2.71152,2.71152,2.32394,2.32394,1588.4615383875
2011-10-18,2.63409,2.63409,2.16916,2.40157,4055.3675211785
2011-10-19,2.2465,2.8663,2.2465,2.71152,2629.2820511595
2011-10-20,2.40157,2.47901,2.32394,2.32394,4801.6923074685
2011-10-21,2.32394,2.32394,1.85931,2.01409,3161.7948716475
2011-10-24,1.93665,2.32394,1.93665,2.32394,162.3760683685
2011-10-25,2.2465,2.2465,1.85931,2.16916,3817.3504271725
2011-10-26,1.93665,2.16916,1.85931,1.93665,4095.7094015185
2011-10-27,2.01409,2.01409,1.78177,1.85931,659.589743559
2011-10-28,2.01409,2.16916,1.93665,2.16916,2106.8547007565
2011-10-31,2.16916,2.2465,2.01409,2.01409,1421.0427349765
2011-11-02,2.01409,2.01409,1.85931,2.01409,527.4700854455
2011-11-04,1.85931,2.09172,1.85931,1.85931,1213.2820512255
2011-11-07,1.78177,1.85931,1.78177,1.85931,269.2820512695
2011-11-08,2.09172,2.09172,1.85931,2.01409,101.8632478585
2011-11-09,2.09172,2.09172,1.93665,1.93665,416.5299145105
2011-11-10,1.85931,2.01409,1.85931,2.01409,832.0512820125
2011-11-14,2.09172,2.09172,1.85931,2.09172,116.991452986
2011-11-15,2.01409,2.2465,2.01409,2.2465,594.0341880065
2011-11-16,2.2465,2.2465,2.2465,2.2465,65.5555555525
2011-11-17,1.85931,2.2465,1.85931,2.09172,411.487179468
2011-11-21,2.09172,2.09172,2.09172,2.09172,70.598290595
2011-11-22,1.70433,2.09172,1.70433,2.09172,5.0427350425
2011-11-23,1.93665,2.09172,1.93665,2.09172,142.2051281985
2011-11-24,2.09172,2.09172,1.78177,2.09172,127.076923071
2011-11-25,1.78177,2.01409,1.70433,2.01409,1121.504273452
2011-11-28,1.85931,2.01409,1.6268,2.01409,2547.589743471
2011-11-29,1.54946,1.93665,1.54946,1.93665,532.512820488
